STT,C1,C2,D,H,C1/D,C2/D,H/D
36,375,399,2060,1307,0.1820388349514563,0.19368932038834952,0.6344660194174757
37,382,398,2061,1307,0.18534691897137312,0.193110140708394,0.6341581756428918
38,374,399,2060,1307,0.18155339805825244,0.19368932038834952,0.6344660194174757
39,374,399,2060,1307,0.18155339805825244,0.19368932038834952,0.6344660194174757
40,374,398,2060,1307,0.18155339805825244,0.19320388349514564,0.6344660194174757
41,381,398,2060,1307,0.1849514563106796,0.19320388349514564,0.6344660194174757
42,375,395,2060,1307,0.1820388349514563,0.19174757281553398,0.6344660194174757
43,380,398,2060,1307,0.18446601941747573,0.19320388349514564,0.6344660194174757
44,378,398,2060,1307,0.18349514563106797,0.19320388349514564,0.6344660194174757
45,375,403,2060,1307,0.1820388349514563,0.19563106796116506,0.6344660194174757
46,379,398,2060,1307,0.18398058252427185,0.19320388349514564,0.6344660194174757
47,380,398,2061,1307,0.1843765162542455,0.193110140708394,0.6341581756428918
48,372,399,2061,1307,0.1804949053857351,0.19359534206695778,0.6341581756428918
49,374,398,2061,1307,0.18146530810286268,0.193110140708394,0.6341581756428918
Checkpoint {number_check} completed.
0,375,399,2060,1307,0.1820388349514563,0.19368932038834952,0.6344660194174757
1,375,398,2060,1307,0.1820388349514563,0.19320388349514564,0.6344660194174757
2,375,399,2060,1307,0.1820388349514563,0.19368932038834952,0.6344660194174757
3,375,399,2061,1307,0.1819505094614265,0.19359534206695778,0.6341581756428918
4,375,398,2060,1307,0.1820388349514563,0.19320388349514564,0.6344660194174757
5,375,399,2060,1307,0.1820388349514563,0.19368932038834952,0.6344660194174757
6,372,398,2060,1307,0.18058252427184465,0.19320388349514564,0.6344660194174757
7,375,401,2060,1307,0.1820388349514563,0.19466019417475727,0.6344660194174757
8,378,398,2060,1307,0.18349514563106797,0.19320388349514564,0.6344660194174757
9,375,399,2060,1307,0.1820388349514563,0.19368932038834952,0.6344660194174757
10,374,398,2060,1307,0.18155339805825244,0.19320388349514564,0.6344660194174757
11,374,398,2060,1307,0.18155339805825244,0.19320388349514564,0.6344660194174757
12,379,398,2060,1307,0.18398058252427185,0.19320388349514564,0.6344660194174757
13,379,398,2061,1306,0.1838913148956817,0.193110140708394,0.633672974284328
14,375,399,2061,1307,0.1819505094614265,0.19359534206695778,0.6341581756428918
15,374,398,2060,1307,0.18155339805825244,0.19320388349514564,0.6344660194174757
16,374,398,2060,1307,0.18155339805825244,0.19320388349514564,0.6344660194174757
17,375,401,2061,1307,0.1819505094614265,0.1945657447840854,0.6341581756428918
18,375,399,2060,1307,0.1820388349514563,0.19368932038834952,0.6344660194174757
19,375,397,2060,1307,0.1820388349514563,0.19271844660194173,0.6344660194174757
20,374,399,2060,1306,0.18155339805825244,0.19368932038834952,0.6339805825242718
