14-56-36-10-04-26-: Start monitoring...
Time,STT,CU OK/NG,CU Pot,CU Gap Min,CU Gap Max
14-57-42-10-04-26-,0,1,0,33,37
14-58-05-10-04-26-,1,1,0,33,36
14-58-28-10-04-26-,2,1,0,30,35
14-58-39-10-04-26-,3,1,0,36,37
14-58-53-10-04-26-,4,1,0,34,40
14-59-05-10-04-26-,5,1,0,33,34
14-59-19-10-04-26-,6,1,0,32,40
14-59-30-10-04-26-,7,1,0,34,36
14-59-44-10-04-26-,8,1,0,36,41
14-59-56-10-04-26-,9,1,0,33,38
15-00-10-10-04-26-,10,1,0,37,41
15-00-22-10-04-26-,11,1,0,22,36
15-00-57-10-04-26-,12,1,0,32,34
15-01-30-10-04-26-,13,1,0,32,35
15-02-12-10-04-26-,14,1,0,32,37
15-02-32-10-04-26-,15,1,0,30,38
15-02-56-10-04-26-,16,1,0,31,36
15-03-42-10-04-26-,17,1,0,22,34
15-03-52-10-04-26-,18,1,0,32,35
15-04-02-10-04-26-,19,1,0,19,36
15-04-13-10-04-26-,20,1,0,33,37
15-04-23-10-04-26-,21,1,0,32,36
15-04-33-10-04-26-,22,1,0,17,42
15-04-45-10-04-26-,23,1,0,35,38
15-05-04-10-04-26-,24,1,0,34,42
15-05-16-10-04-26-,25,1,0,32,33
15-05-27-10-04-26-,26,1,0,32,34
15-05-44-10-04-26-,27,1,0,35,38
15-06-27-10-04-26-,28,1,0,30,34
15-08-26-10-04-26-,29,1,0,34,37
15-08-46-10-04-26-,30,1,0,15,39
15-08-50-10-04-26-,31,1,0,31,34
