13-37-39-10-04-26-: Start monitoring...
Time,STT,CU OK/NG,CU Pot,CU Gap Min,CU Gap Max
13-37-57-10-04-26-,0,1,0,31,38
13-38-06-10-04-26-,1,1,0,35,37
13-38-16-10-04-26-,2,1,0,36,44
13-38-26-10-04-26-,3,1,0,30,35
13-38-36-10-04-26-,4,1,0,29,36
13-38-46-10-04-26-,5,1,0,32,36
13-39-51-10-04-26-,6,1,0,32,40
13-40-02-10-04-26-,7,1,0,34,35
13-40-25-10-04-26-,8,1,0,35,41
13-40-36-10-04-26-,9,1,0,36,40
13-40-52-10-04-26-,10,1,0,34,37
13-41-02-10-04-26-,11,1,0,38,41
13-41-22-10-04-26-,12,1,0,29,39
13-42-07-10-04-26-,13,1,0,24,31
13-43-22-10-04-26-,14,1,0,34,38
13-43-43-10-04-26-,15,1,0,36,38
13-44-02-10-04-26-,16,1,0,35,42
13-46-39-10-04-26-,17,1,0,30,34
13-46-59-10-04-26-,18,1,0,32,34
13-47-20-10-04-26-,19,1,0,27,34
13-47-42-10-04-26-,20,1,0,29,37
13-50-32-10-04-26-,21,1,0,30,33
13-51-04-10-04-26-,22,1,0,30,37
13-51-22-10-04-26-,23,1,0,32,34
13-55-03-10-04-26-,24,1,0,28,32
13-55-35-10-04-26-,25,1,0,31,34
13-55-56-10-04-26-,26,1,0,17,35
13-56-14-10-04-26-,27,1,0,34,39
