09-07-32-03-04-26
Time,C,D,H,C/D,H/D
09-08-10-03-04-26,515.0,2520.0,1650.0,20.436507936507937,65.47619047619048
09-08-30-03-04-26,520.0,2520.0,1653.0,20.634920634920633,65.5952380952381
09-08-47-03-04-26,515.0,2520.0,1650.0,20.436507936507937,65.47619047619048
09-09-10-03-04-26,514.0,2520.0,1648.0,20.396825396825395,65.39682539682539
09-09-33-03-04-26,518.0,2520.0,1647.0,20.555555555555554,65.35714285714286
09-09-47-03-04-26,516.0,2520.0,1647.0,20.476190476190474,65.35714285714286
09-10-03-03-04-26,516.0,2521.0,1647.0,20.46806822689409,65.3312177707259
09-10-19-03-04-26,517.0,2520.0,1651.0,20.515873015873016,65.51587301587301
09-10-35-03-04-26,512.0,2520.0,1647.0,20.317460317460316,65.35714285714286
09-10-51-03-04-26,514.0,2520.0,1648.0,20.396825396825395,65.39682539682539
09-11-08-03-04-26,515.0,2521.0,1646.0,20.42840142800476,65.29155097183657
09-11-29-03-04-26,517.0,2521.0,1648.0,20.50773502578342,65.37088456961523
09-11-46-03-04-26,517.0,2521.0,1650.0,20.50773502578342,65.4502181673939
