14-05-20-03-04-26
Time,C,D,H,C/D,H/D
14-48-58-03-04-26,271.0,1323.0,893.0,20.48374905517763,67.49811035525322
14-49-06-03-04-26,261.0,1337.0,914.0,19.521316379955124,68.36200448765894
14-49-14-03-04-26,266.0,1315.0,885.0,20.228136882129277,67.30038022813687
14-49-54-03-04-26,294.0,1321.0,893.0,22.255866767600303,67.60030280090841
14-50-03-03-04-26,259.0,1332.0,884.0,19.444444444444446,66.36636636636636
14-50-11-03-04-26,272.0,1350.0,926.0,20.14814814814815,68.5925925925926
14-50-19-03-04-26,266.0,1341.0,879.0,19.83594332587621,65.54809843400447
14-50-28-03-04-26,272.0,1361.0,908.0,19.985304922850844,66.71565025716384
14-50-36-03-04-26,298.0,1334.0,935.0,22.338830584707647,70.08995502248877
14-50-45-03-04-26,273.0,1366.0,908.0,19.98535871156662,66.4714494875549
14-50-54-03-04-26,277.0,1356.0,907.0,20.42772861356932,66.88790560471976
14-51-02-03-04-26,253.0,1310.0,884.0,19.31297709923664,67.48091603053436
14-51-11-03-04-26,279.0,1347.0,909.0,20.71269487750557,67.48329621380846
14-51-19-03-04-26,279.0,1354.0,894.0,20.605612998522897,66.02658788774004
14-51-28-03-04-26,250.0,1351.0,867.0,18.50481125092524,64.17468541820874
14-51-37-03-04-26,243.0,1327.0,860.0,18.311981914091938,64.80783722682743
14-51-46-03-04-26,263.0,1317.0,875.0,19.96962794229309,66.43887623386485
14-51-55-03-04-26,255.0,1323.0,886.0,19.27437641723356,66.96900982615269
14-52-03-03-04-26,266.0,1344.0,895.0,19.791666666666664,66.59226190476191
14-52-11-03-04-26,253.0,1333.0,868.0,18.97974493623406,65.11627906976744
14-52-21-03-04-26,259.0,1313.0,873.0,19.725818735719724,66.48895658796648
14-52-30-03-04-26,273.0,1338.0,908.0,20.40358744394619,67.86248131539611
14-52-38-03-04-26,301.0,1351.0,930.0,22.279792746113987,68.8378978534419
14-53-52-03-04-26,252.0,1346.0,870.0,18.7221396731055,64.63595839524517
15-04-41-03-04-26,261.0,1353.0,887.0,19.290465631929045,65.5580192165558
15-04-51-03-04-26,320.0,1307.0,922.0,24.483550114766643,70.54322876817139
15-04-59-03-04-26,256.0,1352.0,909.0,18.93491124260355,67.23372781065089
