15-22-12-27-03-26-: Start monitoring...
Time,STT,CU OK/NG,CU Pot,CU Gap Min,CU Gap Max
15-29-52-27-03-26-,0,1,0,30,31
15-30-31-27-03-26-,1,1,0,32,36
15-30-58-27-03-26-,2,1,0,15,18
15-32-47-27-03-26-,3,1,0,30,31
15-33-08-27-03-26-,4,1,0,25,30
15-33-19-27-03-26-,5,0,1,22,47
15-33-45-27-03-26-,6,1,0,30,34
15-33-56-27-03-26-,7,1,0,18,28
15-34-06-27-03-26-,8,1,0,28,35
15-34-18-27-03-26-,9,1,0,31,32
15-34-46-27-03-26-,10,1,0,40,42
15-35-18-27-03-26-,11,1,0,16,19
