315,1486,1003,21.197846567967698,67.49663526244953
368,1493,986,24.6483590087073,66.04152712659075
288,1477,977,19.49898442789438,66.14759647935003
314,1464,1003,21.44808743169399,68.51092896174863
325,1497,1006,21.710086840347362,67.20106880427522
331,1483,988,22.319622387053272,66.62171274443695
284,1484,967,19.137466307277627,65.16172506738545
293,1479,1005,19.810682893847193,67.95131845841784
302,1504,1006,20.079787234042552,66.88829787234043
290,1464,1000,19.808743169398905,68.30601092896175
