15-09-47-08-04-26-: Start monitoring...
Time,STT,CU OK/NG,CU Pot,CU Gap Min,CU Gap Max
15-12-46-08-04-26-,0,1,0,34,36
15-13-49-08-04-26-,1,1,0,22,28
15-28-59-08-04-26-,2,0,1,17,22
15-33-23-08-04-26-,3,1,0,34,39
15-33-44-08-04-26-,4,1,0,32,34
15-34-05-08-04-26-,5,1,0,30,33
15-34-26-08-04-26-,6,1,0,27,31
15-34-47-08-04-26-,7,1,0,28,34
15-35-15-08-04-26-,8,0,1,17,45
15-35-24-08-04-26-,9,1,0,32,37
15-35-36-08-04-26-,10,1,0,37,41
15-35-46-08-04-26-,11,1,0,32,37
15-35-56-08-04-26-,12,1,0,21,34
15-36-06-08-04-26-,13,1,0,36,40
15-36-38-08-04-26-,14,1,0,31,33
15-38-14-08-04-26-,15,1,0,32,40
15-38-36-08-04-26-,16,1,0,37,40
15-39-00-08-04-26-,17,1,0,15,18
15-39-21-08-04-26-,18,1,0,32,33
15-40-28-08-04-26-,19,1,0,33,34
15-40-46-08-04-26-,20,1,0,12,36
15-40-56-08-04-26-,21,1,0,29,33
15-41-06-08-04-26-,22,1,0,16,36
15-41-16-08-04-26-,23,1,0,32,34
15-41-26-08-04-26-,24,1,0,28,34
15-41-36-08-04-26-,25,1,0,30,32
15-41-45-08-04-26-,26,1,0,32,34
15-41-55-08-04-26-,27,1,0,31,35
15-42-05-08-04-26-,28,1,0,33,36
15-42-15-08-04-26-,29,1,0,34,39
15-42-34-08-04-26-,30,1,0,18,27
15-42-43-08-04-26-,31,1,0,33,37
15-42-53-08-04-26-,32,1,0,33,37
15-43-48-08-04-26-,33,1,0,34,39
15-44-14-08-04-26-,34,1,0,31,34
15-44-25-08-04-26-,35,1,0,19,26
15-44-32-08-04-26-,36,1,0,14,17
